Date (m/d/y);Day;Time;Sample;CI2-T 80ft (PPM);CI2-T 1100 ft (PPM);Difference
25/01/05;1;12:30;1;1.02;1.05;-0.03
25/01/05;1;12:31;2;1.02;1.05;-0.03
25/01/05;1;12:32;3;1.02;1.05;-0.03
25/01/05;1;12:33;4;1.02;1.04;-0.02
25/01/05;1;12:34;5;1.02;1.04;-0.02
25/01/05;1;12:35;6;1.02;1.05;-0.03
25/01/05;1;12:36;7;1.02;1.05;-0.03
25/01/05;1;12:37;8;1.02;1.05;-0.03
25/01/05;1;12:38;9;1.02;1.04;-0.02
25/01/05;1;12:39;10;1.02;1.04;-0.02
25/01/05;1;12:40;11;1.02;1.04;-0.02
25/01/05;1;12:41;12;1.02;1.04;-0.02
25/01/05;1;12:42;13;1.02;1.04;-0.02
25/01/05;1;12:43;14;1.02;1.04;-0.02
25/01/05;1;12:44;15;1.02;1.04;-0.02
25/01/05;1;12:45;16;1.02;1.05;-0.03
25/01/05;1;12:46;17;1.02;1.05;-0.03
25/01/05;1;12:47;18;1.02;1.05;-0.03
25/01/05;1;12:48;19;1.02;1.04;-0.02
25/01/05;1;12:49;20;1.02;1.04;-0.02
25/01/05;1;12:50;21;1.02;1.05;-0.03
25/01/05;1;12:51;22;1.02;1.04;-0.02
25/01/05;1;12:52;23;1.02;1.04;-0.02
25/01/05;1;12:53;24;1.02;1.04;-0.02
25/01/05;1;12:54;25;1.02;1.04;-0.02
25/01/05;1;12:55;26;1.02;1.04;-0.02
25/01/05;1;12:56;27;1.02;1.04;-0.02
25/01/05;1;12:57;28;1.02;1.04;-0.02
25/01/05;1;12:58;29;1.02;1.04;-0.02
25/01/05;1;12:59;30;1.02;1.04;-0.02
25/01/05;1;1:00;31;1.02;1.05;-0.03
25/01/05;1;1:01;32;1.03;1.05;-0.02
25/01/05;1;1:02;33;1.02;1.05;-0.03
25/01/05;1;1:03;34;1.02;1.04;-0.02
25/01/05;1;1:04;35;1.02;1.04;-0.02
25/01/05;1;1:05;36;1.02;1.04;-0.02
25/01/05;1;1:06;37;1.02;1.04;-0.02
25/01/05;1;1:07;38;1.02;1.04;-0.02
25/01/05;1;1:08;39;1.02;1.04;-0.02
25/01/05;1;1:09;40;0.97;1.04;-0.07
25/01/05;1;1:10;41;0.97;1.04;-0.07
25/01/05;1;1:11;42;0.88;1.04;-0.16
25/01/05;1;1:12;43;0.88;1.04;-0.16
25/01/05;1;1:13;44;0.88;1.05;-0.17
25/01/05;1;1:14;45;0.85;1.05;-0.2
25/01/05;1;1:15;46;0.85;1.04;-0.19
25/01/05;1;1:16;47;0.85;1.04;-0.19
25/01/05;1;1:17;48;0.85;1.04;-0.19
25/01/05;1;1:18;49;0.85;1.04;-0.19
25/01/05;1;1:19;50;0.85;1.04;-0.19
25/01/05;1;1:20;51;0.85;1.04;-0.19
25/01/05;1;1:21;52;0.86;1.05;-0.19
25/01/05;1;1:23;53;0.86;1.05;-0.19
25/01/05;1;1:24;54;0.85;1.05;-0.2
25/01/05;1;1:25;55;0.85;1.04;-0.19
25/01/05;1;1:26;56;0.85;1.04;-0.19
25/01/05;1;1:27;57;0.85;1.04;-0.19
25/01/05;1;1:28;58;0.85;1.04;-0.19
25/01/05;1;1:29;59;0.92;1.04;-0.12
25/01/05;1;1:30;60;0.92;0.94;-0.02
25/01/05;1;1:31;61;1;0.94;0.06
25/01/05;1;1:32;62;1;0.94;0.06
25/01/05;1;1:33;63;1;0.89;0.11
25/01/05;1;1:34;64;1.02;0.89;0.13
25/01/05;1;1:35;65;1.02;0.88;0.14
25/01/05;1;1:36;66;1.02;0.88;0.14
25/01/05;1;1:37;67;1.02;0.88;0.14
25/01/05;1;1:38;68;1.02;0.88;0.14
25/01/05;1;1:39;69;1.02;0.88;0.14
25/01/05;1;1:40;70;1.02;0.88;0.14
25/01/05;1;1:41;71;1.01;0.88;0.13
25/01/05;1;1:42;72;1.01;0.88;0.13
25/01/05;1;1:43;73;1.01;0.88;0.13
25/01/05;1;1:44;74;1.02;0.88;0.14
25/01/05;1;1:45;75;1.02;0.88;0.14
25/01/05;1;1:46;76;1.02;0.88;0.14
25/01/05;1;1:47;77;1.02;0.88;0.14
25/01/05;1;1:48;78;1.02;0.87;0.15
25/01/05;1;1:49;79;1.01;0.87;0.14
25/01/05;1;1:50;80;1.01;0.99;0.02
25/01/05;1;1:51;81;1.02;0.99;0.03
25/01/05;1;1:52;82;1.02;0.99;0.03
25/01/05;1;1:53;83;1.02;1.04;-0.02
25/01/05;1;1:54;84;1.02;1.04;-0.02
25/01/05;1;1:55;85;1.03;1.04;-0.01
25/01/05;1;1:56;86;1.02;1.04;-0.02
25/01/05;1;1:57;87;1.02;1.04;-0.02
25/01/05;1;1:58;88;1.02;1.04;-0.02
25/01/05;1;1:59;89;1.02;1.04;-0.02
25/01/05;1;2:00;90;1.02;1.04;-0.02
25/01/05;1;2:01;91;1.02;1.04;-0.02
25/01/05;1;2:02;92;1.02;1.04;-0.02
25/01/05;1;2:03;93;1.02;1.04;-0.02
25/01/05;1;2:04;94;1.02;1.04;-0.02
25/01/05;1;2:05;95;1.02;1.04;-0.02
25/01/05;1;2:06;96;1.02;1.04;-0.02
25/01/05;1;2:07;97;1.02;1.04;-0.02
25/01/05;1;2:08;98;1.02;1.05;-0.03
25/01/05;1;2:09;99;1.02;1.05;-0.03
25/01/05;1;2:10;100;1.02;1.04;-0.02
25/01/05;1;2:11;101;1.02;1.04;-0.02
25/01/05;1;2:12;102;1.02;1.04;-0.02
25/01/05;1;2:13;103;1.02;1.04;-0.02
25/01/05;1;2:14;104;1.02;1.04;-0.02
25/01/05;1;2:15;105;1.02;1.04;-0.02
25/01/05;1;2:16;106;1.02;1.04;-0.02
25/01/05;1;2:17;107;1.02;1.04;-0.02
25/01/05;1;2:18;108;1.02;1.04;-0.02
25/01/05;1;2:19;109;1.02;1.04;-0.02
25/01/05;1;2:20;110;1.02;1.04;-0.02
25/01/05;1;2:21;111;1.02;1.04;-0.02
25/01/05;1;2:22;112;1.02;1.04;-0.02
25/01/05;1;2:23;113;1.02;1.04;-0.02
25/01/05;1;2:24;114;1.02;1.04;-0.02
25/01/05;1;2:25;115;1.02;1.04;-0.02
25/01/05;1;2:26;116;1.02;1.04;-0.02
25/01/05;1;2:27;117;1.02;1.05;-0.03
25/01/05;1;2:28;118;1.02;1.04;-0.02
25/01/05;1;2:29;119;1.02;1.04;-0.02
25/01/05;1;2:30;120;1.02;1.03;-0.01
25/01/05;1;2:31;121;1.02;1.03;-0.01
25/01/05;1;2:32;122;1.02;1.03;-0.01
25/01/05;1;2:33;123;1.02;1.05;-0.03
25/01/05;1;2:34;124;1.02;1.04;-0.02
25/01/05;1;2:35;125;1.02;1.04;-0.02
25/01/05;1;2:36;126;1.01;1.04;-0.03
25/01/05;1;2:37;127;1.01;1.04;-0.03
25/01/05;1;2:38;128;1.01;1.04;-0.03
25/01/05;1;2:39;129;1.02;1.04;-0.02
25/01/05;1;2:40;130;1.02;1.04;-0.02
25/01/05;1;2:41;131;0.84;1.04;-0.2
25/01/05;1;2:42;132;0.84;1.04;-0.2
25/01/05;1;2:43;133;0.84;1.04;-0.2
25/01/05;1;2:44;134;0.54;1.04;-0.5
25/01/05;1;2:45;135;0.54;1.04;-0.5
25/01/05;1;2:46;136;0.53;1.04;-0.51
25/01/05;1;2:47;137;0.53;1.04;-0.51
25/01/05;1;2:48;138;0.53;1.04;-0.51
25/01/05;1;2:49;139;0.52;1.04;-0.52
25/01/05;1;2:50;140;0.52;1.05;-0.53
25/01/05;1;2:51;141;0.52;1.05;-0.53
25/01/05;1;2:52;142;0.52;1.05;-0.53
25/01/05;1;2:53;143;0.52;1.03;-0.51
25/01/05;1;2:54;144;0.52;1.03;-0.51
25/01/05;1;2:55;145;0.52;1.03;-0.51
25/01/05;1;2:56;146;0.52;1.03;-0.51
25/01/05;1;2:57;147;0.52;1.03;-0.51
25/01/05;1;2:58;148;0.52;1.03;-0.51
25/01/05;1;2:59;149;0.53;1.03;-0.5
25/01/05;1;3:00;150;0.53;1.02;-0.49
25/01/05;1;3:01;151;0.56;1.02;-0.46
25/01/05;1;3:02;152;0.56;1.02;-0.46
25/01/05;1;3:03;153;0.56;0.65;-0.09
25/01/05;1;3:04;154;0.93;0.65;0.28
25/01/05;1;3:05;155;0.93;0.55;0.38
25/01/05;1;3:06;156;1;0.55;0.45
25/01/05;1;3:07;157;1;0.55;0.45
25/01/05;1;3:08;158;1;0.55;0.45
25/01/05;1;3:09;159;1;0.55;0.45
25/01/05;1;3:10;160;1;0.54;0.46
25/01/05;1;3:11;161;1.01;0.54;0.47
25/01/05;1;3:12;162;1.01;0.54;0.47
25/01/05;1;3:13;163;1.01;0.54;0.47
25/01/05;1;3:14;164;1.02;0.54;0.48
25/01/05;1;3:15;165;1.02;0.55;0.47
25/01/05;1;3:16;166;1.02;0.54;0.48
25/01/05;1;3:17;167;1.02;0.54;0.48
25/01/05;1;3:18;168;1.02;0.54;0.48
25/01/05;1;3:19;169;1.02;0.54;0.48
25/01/05;1;3:20;170;1.02;0.54;0.48
25/01/05;1;3:21;171;1.02;0.54;0.48
25/01/05;1;3:22;172;1.02;0.54;0.48
25/01/05;1;3:23;173;1.02;0.78;0.24
25/01/05;1;3:24;174;1.01;0.78;0.23
25/01/05;1;3:25;175;1.01;0.98;0.03
25/01/05;1;3:26;176;1.02;0.98;0.04
25/01/05;1;3:27;177;1.02;0.98;0.04
25/01/05;1;3:28;178;1.02;1.02;0
25/01/05;1;3:29;179;1.01;1.02;-0.01
25/01/05;1;3:31;180;1.01;1.03;-0.02
25/01/05;1;3:32;181;1.01;1.03;-0.02
25/01/05;1;3:33;182;1.01;1.03;-0.02
25/01/05;1;3:34;183;1.01;1.03;-0.02
25/01/05;1;3:35;184;1.01;1.04;-0.03
25/01/05;1;3:36;185;1.02;1.04;-0.02
25/01/05;1;3:37;186;1.02;1.04;-0.02
25/01/05;1;3:38;187;1.02;1.04;-0.02
25/01/05;1;3:39;188;1.01;1.04;-0.03
25/01/05;1;3:40;189;1.01;1.04;-0.03
25/01/05;1;3:41;190;1;1.04;-0.04
25/01/05;1;3:42;191;1;1.04;-0.04
25/01/05;1;3:43;192;1;1.03;-0.03
25/01/05;1;3:44;193;1;1.03;-0.03
25/01/05;1;3:45;194;1;1.04;-0.04
25/01/05;1;3:46;195;1.01;1.04;-0.03
25/01/05;1;3:47;196;1.01;1.04;-0.03
25/01/05;1;3:48;197;1.01;1.04;-0.03
25/01/05;1;3:49;198;1.01;1.04;-0.03
25/01/05;1;3:50;199;1.01;1.04;-0.03
25/01/05;1;3:51;200;1.01;1.04;-0.03
25/01/05;1;3:52;201;1.01;1.04;-0.03
25/01/05;1;3:53;202;1.01;1.03;-0.02
25/01/05;1;3:54;203;1.01;1.03;-0.02
25/01/05;1;3:55;204;1.01;1.04;-0.03
25/01/05;1;3:56;205;1.01;1.04;-0.03
25/01/05;1;3:57;206;1.01;1.04;-0.03
25/01/05;1;3:58;207;1.01;1.04;-0.03
25/01/05;1;3:59;208;1;1.04;-0.04
25/01/05;1;4:00;209;1;1.04;-0.04
25/01/05;1;4:01;210;1.01;1.04;-0.03
25/01/05;1;4:02;211;1.01;1.04;-0.03
25/01/05;1;4:03;212;1.01;1.03;-0.02
25/01/05;1;4:04;213;1.02;1.03;-0.01
25/01/05;1;4:05;214;1.02;1.04;-0.02
25/01/05;1;4:06;215;1.01;1.04;-0.03
25/01/05;1;4:07;216;1.01;1.04;-0.03
25/01/05;1;4:08;217;1.01;1.04;-0.03
25/01/05;1;4:09;218;1.01;1.04;-0.03
25/01/05;1;4:10;219;1.01;1.04;-0.03
25/01/05;1;4:11;220;1.02;1.04;-0.02
25/01/05;1;4:12;221;1.02;1.04;-0.02
25/01/05;1;4:13;222;1.02;1.04;-0.02
25/01/05;1;4:14;223;1.02;1.04;-0.02
25/01/05;1;4:15;224;1.02;1.03;-0.01
25/01/05;1;4:16;225;1.01;1.03;-0.02
25/01/05;1;4:17;226;1.01;1.03;-0.02
25/01/05;1;4:18;227;1.01;1.03;-0.02
25/01/05;1;4:19;228;1.02;1.03;-0.01
25/01/05;1;4:20;229;1.02;1.03;-0.01
25/01/05;1;4:21;230;0.78;1.03;-0.25
25/01/05;1;4:22;231;0.78;1.03;-0.25
25/01/05;1;4:23;232;0.78;1.03;-0.25
25/01/05;1;4:24;233;0.5;1.03;-0.53
25/01/05;1;4:25;234;0.5;1.04;-0.54
25/01/05;1;4:26;235;0.49;1.04;-0.55
25/01/05;1;4:27;236;0.49;1.04;-0.55
25/01/05;1;4:28;237;0.49;1.04;-0.55
25/01/05;1;4:29;238;0.48;1.04;-0.56
25/01/05;1;4:30;239;0.48;1.04;-0.56
25/01/05;1;4:31;240;0.49;1.04;-0.55
25/01/05;1;4:32;241;0.49;1.05;-0.56
25/01/05;1;4:33;242;0.49;1.03;-0.54
25/01/05;1;4:34;243;0.48;1.03;-0.55
25/01/05;1;4:35;244;0.48;1.03;-0.55
25/01/05;1;4:36;245;0.48;1.03;-0.55
25/01/05;1;4:37;246;0.48;1.03;-0.55
25/01/05;1;4:38;247;0.48;1.04;-0.56
25/01/05;1;4:39;248;0.48;1.04;-0.56
25/01/05;1;4:40;249;0.48;1;-0.52
25/01/05;1;4:41;250;0.5;1;-0.5
25/01/05;1;4:42;251;0.5;1;-0.5
25/01/05;1;4:43;252;0.5;0.55;-0.05
25/01/05;1;4:44;253;0.85;0.55;0.3
25/01/05;1;4:45;254;0.85;0.5;0.35
25/01/05;1;4:46;255;0.96;0.5;0.46
25/01/05;1;4:47;256;0.96;0.5;0.46
25/01/05;1;4:48;257;0.96;0.5;0.46
25/01/05;1;4:49;258;1;0.5;0.5
25/01/05;1;4:50;259;1;0.5;0.5
25/01/05;1;4:51;260;1;0.5;0.5
25/01/05;1;4:52;261;1;0.5;0.5
25/01/05;1;4:53;262;1;0.5;0.5
25/01/05;1;4:54;263;1;0.5;0.5
25/01/05;1;4:55;264;1;0.49;0.51
25/01/05;1;4:56;265;1;0.49;0.51
25/01/05;1;4:57;266;1;0.49;0.51
25/01/05;1;4:58;267;1;0.5;0.5
25/01/05;1;4:59;268;1.01;0.5;0.51
25/01/05;1;5:00;269;1.01;0.5;0.51
25/01/05;1;5:01;270;1.01;0.5;0.51
25/01/05;1;5:02;271;1.01;0.5;0.51
25/01/05;1;5:03;272;1.01;0.57;0.44
25/01/05;1;5:04;273;1;0.57;0.43
25/01/05;1;5:05;274;1;0.9;0.1
25/01/05;1;5:06;275;1;0.89;0.11
25/01/05;1;5:07;276;1;0.89;0.11
25/01/05;1;5:08;277;1;0.99;0.01
25/01/05;1;5:09;278;1;0.99;0.01
25/01/05;1;5:10;279;1;1;0
25/01/05;1;5:11;280;1;1;0
25/01/05;1;5:12;281;1;1;0
25/01/05;1;5:13;282;1;1.02;-0.02
25/01/05;1;5:14;283;1.01;1.02;-0.01
25/01/05;1;5:15;284;1.01;1.02;-0.01
25/01/05;1;5:16;285;1.01;1.02;-0.01
25/01/05;1;5:17;286;1.01;1.02;-0.01
25/01/05;1;5:18;287;1.01;1.02;-0.01
25/01/05;1;5:19;288;1.02;1.02;0
25/01/05;1;5:20;289;1.02;1.02;0
25/01/05;1;5:21;290;1.01;1.02;-0.01
25/01/05;1;5:22;291;1.01;1.02;-0.01
25/01/05;1;5:23;292;1.01;1.04;-0.03
25/01/05;1;5:24;293;1;1.04;-0.04
25/01/05;1;5:25;294;1;1.03;-0.03
25/01/05;1;5:26;295;1;1.03;-0.03
25/01/05;1;5:27;296;1;1.03;-0.03
25/01/05;1;5:28;297;1;1.04;-0.04
25/01/05;1;5:29;298;1;1.04;-0.04
25/01/05;1;5:30;299;1;1.03;-0.03
26/01/05;2;10:05;300;1;1.01;-0.01
26/01/05;2;10:06;301;1;1.01;-0.01
26/01/05;2;10:07;302;1;1.02;-0.02
26/01/05;2;10:08;303;1;1.02;-0.02
